sample1;;
Wavelength (nm);Abs;
415,9937439;0,3094554842;
415,068634;0,3152684271;
413,9891357;0,321660012;
413,0636902;0,3258310556;
411,9838257;0,3316913545;
411,058075;0,3381005824;
409,9778748;0,3432578444;
409,0518188;0,3491683304;
407,9712219;0,3544185758;
407,0448608;0,3582420647;
405,9639282;0,3641458154;
405,037262;0,3688419759;
403,9559631;0,3740752041;
403,0289917;0,3776794672;
401,9473572;0,3820408881;
401,0200806;0,3862686157;
399,9380798;0,3905790448;
399,010498;0,3945766687;
397,9281616;0,3984397054;
397,0003052;0,4013100266;
396,0722656;0,4049013853;
394,9894104;0,4087076485;
394,0611267;0,4120203257;
392,9779053;0,4155904055;
392,0493164;0,4177386463;
390,9657593;0,4212293923;
390,0368652;0,4242688715;
388,9530029;0,4281135201;
388,0238037;0,4309384227;
386,9395752;0,434084326;
386,0101013;0,4373392761;
384,9255371;0,4419756234;
383,9957581;0,4469165504;
383,0658569;0,4526351094;
381,9808044;0,4594572186;
381,0505981;0,4655919969;
379,96521;0,4763156176;
379,0347595;0,4884593487;
377,9490356;0,5045222044;
377,0182495;0,5192991495;
375,9322205;0,5435515642;
375,0011597;0,5710100532;
374,0700073;0,6090039611;
372,9834595;0,660584867;
372,052002;0,7122827172;
370,9651489;0,7883088589;
370,0334167;0,8730946779;

sample1;
sample1
Collection Time: 17.09.2024 11:32:31
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3,00
Start (nm)                        700,0
Stop (nm)                         370,0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600,00
UV-Vis Data Interval (nm)         1,00
UV-Vis Ave. Time (sec)            0,1000
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 17.09.2024 11:31:25
Method Modifications:
UVVIS SAT Changed: 17.09.2024 11:31:47, Old:0,0125, New:0,1000
Common SAT Changed: 17.09.2024 11:31:47, Old:0,0125, New:0,1000
X Start nm Changed: 17.09.2024 11:31:51, Old:  800,0, New:  700,0
X Stop nm Changed: 17.09.2024 11:31:51, Old:  200,0, New:  370,0
Common Interval nm Changed: 17.09.2024 11:31:51, Old:     5,00, New:     1,00
End Method Modifications
<Current Wavelength> , 370,0

