w;i;w1;i1;
423,9407349;0,09843490273;423,9407349;0,5649083257;
423,019989;0,09982908517;423,019989;0,5705552101;
421,9455872;0,1008662656;421,9455872;0,576841414;
421,0245056;0,1010750383;421,0245056;0,5808494091;
419,9497375;0,1016543508;419,9497375;0,5849694014;
419,0283508;0,1027019694;419,0283508;0,5886147618;
417,953186;0,1031036302;417,953186;0,5917059779;
417,0314941;0,1037125811;417,0314941;0,5943131447;
415,9559937;0,1035723537;415,9559937;0,5966864824;
415,0339661;0,1040483937;415,0339661;0,5976623893;
413,9580994;0,1038926691;413,9580994;0,5979804993;
413,0357666;0,1040376648;413,0357666;0,5982376337;
411,9595337;0,1041000336;411,9595337;0,5975542665;
411,0368958;0,1037636548;411,0368958;0,5970561504;
409,9602966;0,1035922989;409,9602966;0,5958320498;
409,0373535;0,1032123491;409,0373535;0,59356004;
407,9603882;0,1026532799;407,9603882;0,5912719369;
407,0371399;0,1021773517;407,0371399;0,5884834528;
405,9598083;0,1015167534;405,9598083;0,5839262009;
405,0362549;0,1009274572;405,0362549;0,5802855492;
403,9585876;0,1003395543;403,9585876;0,5762158632;
403,034729;0,09913051128;403,034729;0,5718131661;
401,9566956;0,09846757352;401,9566956;0,5662096143;
401,0325317;0,09756123275;401,0325317;0,5599226952;
399,9541626;0,09644950926;399,9541626;0,5532691479;
399,0296936;0,0955061838;399,0296936;0,5482228398;
397,9509583;0,09435939789;397,9509583;0,541788578;
397,0261841;0,09290856868;397,0261841;0,5339388847;
395,947113;0,09139733016;395,947113;0,5247778296;
395,0220642;0,08978407085;395,0220642;0,5174832344;
393,942627;0,08852222562;393,942627;0,5083863735;
393,0172729;0,08660399914;393,0172729;0,5012089014;
391,9375;0,08537932485;391,9375;0,4924681485;
391,0118408;0,08373206854;391,0118408;0,4825710058;
389,9317322;0,08207659423;389,9317322;0,4723771513;
389,0057678;0,08061984181;389,0057678;0,4633800387;
387,9253235;0,07862216979;387,9253235;0,4535700977;
386,9990845;0,07778253406;386,9990845;0,4466357231;
386,0726929;0,07547962666;386,0726929;0,4355260134;
384,9917603;0,0736996755;384,9917603;0,424151957;
384,065094;0,07166118175;384,065094;0,4145653844;
382,9837952;0,07021214813;382,9837952;0,4047611952;
